Car_ID,Make,Model,Year,Engine_HP,Engine_Cylinders,Transmission_Type,Driven_Wheels,Market_Category,Vehicle_Size,Vehicle_Style,highway_MPG,city_mpg,Popularity,image_url,Status,Rent_Price,Security
1,Mercedes-Benz,SL-Class,2015,429.0,8.0,AUTOMATIC,rear wheel drive,"Luxury, High-Performance",Compact,Convertible,24,17,617,https://source.unsplash.com/600x400/?Mercedes-Benz+SL-Class+car,Available,4268.0,42680.0
2,Chevrolet,Silverado 1500 Classic,2007,285.0,8.0,AUTOMATIC,rear wheel drive,,Large,Crew Cab Pickup,19,15,1385,https://source.unsplash.com/600x400/?Chevrolet+Silverado+1500+Classic+car,Available,1058.4,10584.0
3,Kia,Forte,2015,201.0,4.0,AUTOMATIC,front wheel drive,Performance,Compact,Coupe,30,22,1720,https://source.unsplash.com/600x400/?Kia+Forte+car,Available,863.6,8636.0
4,Subaru,Legacy,2015,175.0,4.0,AUTOMATIC,all wheel drive,,Midsize,Sedan,36,26,640,https://source.unsplash.com/600x400/?Subaru+Legacy+car,Available,951.8000000000001,9518.0
5,Hyundai,Tucson,2017,175.0,4.0,AUTOMATED_MANUAL,all wheel drive,Crossover,Compact,4dr SUV,28,24,1439,https://source.unsplash.com/600x400/?Hyundai+Tucson+car,Available,1247.0,12470.0
6,Audi,Q3,2017,200.0,4.0,AUTOMATIC,front wheel drive,"Crossover, Luxury",Compact,4dr SUV,28,20,3105,https://source.unsplash.com/600x400/?Audi+Q3+car,Available,1380.0,13800.0
7,Ford,Taurus,2015,365.0,6.0,AUTOMATIC,all wheel drive,"Factory Tuner, High-Performance",Large,Sedan,25,17,5657,https://source.unsplash.com/600x400/?Ford+Taurus+car,Available,1608.8,16088.0
8,Chrysler,300M,2004,255.0,6.0,AUTOMATIC,front wheel drive,Performance,Large,Sedan,25,16,1013,https://source.unsplash.com/600x400/?Chrysler+300M+car,Available,1304.6000000000001,13046.0
9,Mitsubishi,Eclipse Spyder,2012,162.0,4.0,AUTOMATIC,front wheel drive,,Compact,Convertible,27,20,436,https://source.unsplash.com/600x400/?Mitsubishi+Eclipse+Spyder+car,Available,1131.96,11319.6
10,Volvo,240,1993,114.0,4.0,MANUAL,rear wheel drive,Luxury,Midsize,Wagon,25,18,870,https://source.unsplash.com/600x400/?Volvo+240+car,Available,80.0,800.0
11,Mitsubishi,Galant,2011,160.0,4.0,AUTOMATIC,front wheel drive,,Midsize,Sedan,30,21,436,https://source.unsplash.com/600x400/?Mitsubishi+Galant+car,Available,863.96,8639.6
12,Volkswagen,GTI,2012,200.0,4.0,MANUAL,front wheel drive,"Hatchback, Performance",Compact,2dr Hatchback,31,21,873,https://source.unsplash.com/600x400/?Volkswagen+GTI+car,Available,959.8000000000001,9598.0
13,Bentley,Continental Supersports,2010,621.0,12.0,AUTOMATIC,all wheel drive,"Exotic, Flex Fuel, Factory Tuner, Luxury, High-Performance",Midsize,Coupe,19,12,520,https://source.unsplash.com/600x400/?Bentley+Continental+Supersports+car,Available,10680.0,106800.0
14,Hyundai,Sonata,2016,185.0,4.0,AUTOMATIC,front wheel drive,,Midsize,Sedan,38,25,1439,https://source.unsplash.com/600x400/?Hyundai+Sonata+car,Available,870.0,8700.0
15,Ford,Five Hundred,2007,203.0,6.0,AUTOMATIC,all wheel drive,,Large,Sedan,23,17,5657,https://source.unsplash.com/600x400/?Ford+Five+Hundred+car,Available,995.4,9954.0
16,Dodge,Nitro,2011,210.0,6.0,AUTOMATIC,four wheel drive,Crossover,Midsize,4dr SUV,21,15,1851,https://source.unsplash.com/600x400/?Dodge+Nitro+car,Available,959.8000000000001,9598.0
17,Chevrolet,Monte Carlo,2005,180.0,6.0,AUTOMATIC,front wheel drive,,Midsize,Coupe,29,19,1385,https://source.unsplash.com/600x400/?Chevrolet+Monte+Carlo+car,Available,891.2,8912.0
18,Porsche,911,2016,350.0,6.0,MANUAL,all wheel drive,"Luxury, High-Performance",Compact,Convertible,26,19,1715,https://source.unsplash.com/600x400/?Porsche+911+car,Available,4117.2,41172.0
19,Honda,Civic,2016,158.0,4.0,AUTOMATIC,front wheel drive,,Midsize,Sedan,41,31,2202,https://source.unsplash.com/600x400/?Honda+Civic+car,Available,817.6,8176.0
